id,name,address,category,naver_category,new_cuisine_type,new_main_category
46732,러피(LOPPY),"서울특별시 성북구 화랑로13길 79-2, 1층 (하월곡동)",기타,"음식점>카페,디저트",카페,CAFE
46739,챙스베리,"서울특별시 서대문구 성산로 325, 동신빌딩 1층 (연희동)",기타,"음식점>카페,디저트",카페,CAFE
46808,우에노,"서울특별시 서대문구 연희로 36, 1층 106호 (연희동)",기타,,기타,RESTAURANT
46819,연플레이스,"서울특별시 서대문구 신촌로 39, 3층 302호 (창천동)",기타,"음식점>카페,디저트",카페,CAFE
46851,디폴트 밸류(default value),"서울특별시 서대문구 성산로 333, 노엘 2층 (연희동)",기타,"음식점>카페,디저트",카페,CAFE
46854,드렁크몽크,"서울특별시 서대문구 연희맛로 3-4, 지하1층 (연희동)",기타,술집>바(BAR),술집/바,PUB
46855,두찜 서대문홍제점,"서울특별시 서대문구 세검정로1길 101, 1층 좌측호 (홍은동)",기타,"육류,고기요리>찜닭",고기/구이,RESTAURANT
46888,열린공간 연희,"서울특별시 서대문구 홍연길 54, 1층 (연희동)",기타,,기타,RESTAURANT
46891,블루레시피,"서울특별시 서대문구 연희맛로 17-16, 1층 우측호 (연희동)",기타,음식점>양식,양식,RESTAURANT
46922,막지 연희점,"서울특별시 서대문구 연희로15길 39, 1층 (연희동)",기타,,기타,RESTAURANT
46953,플랫 201P,"서울특별시 서대문구 신촌역로 22-5, 3층 62호 (대현동)",기타,,기타,RESTAURANT
46956,브라운비(Brown:b),"서울특별시 서대문구 간호대로2길 16, 지층 (홍제동)",기타,"음식점>카페,디저트",카페,CAFE
46972,세션(SESSION),"서울특별시 서대문구 연희로25길 72, 지하1층 (연희동)",기타,"음식점>카페,디저트",카페,CAFE
47034,Spilled cup(스필드 컵),"서울특별시 서대문구 수색로 56, 성공타워1 제1층 제101호 (북가좌동)",기타,,기타,RESTAURANT
47050,홀로세(HOLOCE),"서울특별시 서대문구 충정로5길 22, 지하1층 102호 (충정로3가)",기타,,기타,RESTAURANT
47088,달심당,"서울특별시 서대문구 연희로 261-50, 행복을 주는 사람들, 1층, 2층 일부 (홍은동)",기타,"카페,디저트>베이커리",아시아음식,RESTAURANT
